"Function","Category","Subcategory","Informative References"
,,,"NIST SP 800-53 Rev. 4 CP-2, CP-3, IR-3, IR-8"
,,"RS.CO-2: Events are reported consistent with established criteria","ISA 62443-2-1:2009 4.3.4.5.5 "
,,,"ISO/IEC 27001:2013 A.6.1.3, A.16.1.2"
,,,"NIST SP 800-53 Rev. 4 AU-6, IR-6, IR-8"
,,"RS.CO-3: Information is shared consistent with response plans","ISA 62443-2-1:2009 4.3.4.5.2"
,,,"ISO/IEC 27001:2013 A.16.1.2"
,,,"NIST SP 800-53 Rev. 4 CA-2, CA-7, CP-2, IR-4, IR-8, PE-6, RA-5, SI-4 "
,,"RS.CO-4: Coordination with stakeholders occurs consistent with response plans","ISA 62443-2-1:2009 4.3.4.5.5"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-8"
,,"RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ","NIST SP 800-53 Rev. 4 PM-15, SI-5"
,"Analysis (RS.AN): Analysis is conducted to ensure adequate response and support recovery activities.","RS.AN-1: Notifications from detection systems are investigated ","COBIT 5 DSS02.07"
,,,"ISA 62443-2-1:2009 4.3.4.5.6, 4.3.4.5.7, 4.3.4.5.8"
,,,"ISA 62443-3-3:2013 SR 6.1"
,,,"ISO/IEC 27001:2013 A.12.4.1, A.12.4.3, A.16.1.5"
,,,"NIST SP 800-53 Rev. 4 AU-6, CA-7, IR-4, IR-5, PE-6, SI-4 "
,,"RS.AN-2: The impact of the incident is understood","ISA 62443-2-1:2009 4.3.4.5.6, 4.3.4.5.7, 4.3.4.5.8"
,,,"ISO/IEC 27001:2013 A.16.1.6"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4"
,,"RS.AN-3: Forensics are performed","ISA 62443-3-3:2013 SR 2.8, SR 2.9, SR 2.10, SR 2.11, SR 2.12, SR 3.9, SR 6.1"
,,,"ISO/IEC 27001:2013 A.16.1.7 "
,,,"NIST SP 800-53 Rev. 4 AU-7, IR-4"
,,"RS.AN-4: Incidents are categorized consistent with response plans","ISA 62443-2-1:2009 4.3.4.5.6"
,,,"ISO/IEC 27001:2013 A.16.1.4 "
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-5, IR-8"
,"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and eradicate the incident.","RS.MI-1: Incidents are contained","ISA 62443-2-1:2009 4.3.4.5.6"
,,,"ISA 62443-3-3:2013 SR 5.1, SR 5.2, SR 5.4"
,,,"ISO/IEC 27001:2013 A.16.1.5"
,,,"NIST SP 800-53 Rev. 4 IR-4"
,,"RS.MI-2: Incidents are mitigated","ISA 62443-2-1:2009 4.3.4.5.6, 4.3.4.5.10"
,,,"ISO/IEC 27001:2013 A.12.2.1, A.16.1.5"
,,,"NIST SP 800-53 Rev. 4 IR-4"
,,"RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks","ISO/IEC 27001:2013 A.12.6.1"
,,,"NIST SP 800-53 Rev. 4 CA-7, RA-3, RA-5"
,"Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.","RS.IM-1: Response plans incorporate lessons learned","COBIT 5 BAI01.13"
,,,"ISA 62443-2-1:2009 4.3.4.5.10, 4.4.3.4"
,,,"ISO/IEC 27001:2013 A.16.1.6"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-8"
,,"RS.IM-2: Response strategies are updated","NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-8"
"RECOVER (RC)","Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure timely restoration of systems or assets affected by cybersecurity events.","RC.RP-1: Recovery plan is executed during or after an event","CCS CSC 8"
,,,"COBIT 5 DSS02.05, DSS03.04"
,,,"ISO/IEC 27001:2013 A.16.1.5"
,,,"NIST SP 800-53 Rev. 4 CP-10, IR-4, IR-8"
,"Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.","RC.IM-1: Recovery plans incorporate lessons learned","COBIT 5 BAI05.07"
,,,"ISA 62443-2-1 4.4.3.4"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-8"
,,"RC.IM-2: Recovery strategies are updated","COBIT 5 BAI07.08"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, IR-8"
,"Communications (RC.CO): Restoration activities are coordinated with internal and external parties, such as coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors.","RC.CO-1: Public relations are managed","COBIT 5 EDM03.02"
,,"RC.CO-2: Reputation after an event is repaired","COBIT 5 MEA03.02"
,,"RC.CO-3: Recovery activities are communicated to internal stakeholders and executive and management teams","NIST SP 800-53 Rev. 4 CP-2, IR-4 "
